Original,Canonical,Changed
wormerveer,wormerveer,False
wormer,wormer,False
xavier,xavier,False
xiamen,xiamen,False
yagcibedir,yagcibedir,False
york harbor,york harbor,False
yverdon,yverdon,False
baden-baden,baden-baden,False
bali,bali,False
yugoslavia,yugoslavia,False
yucatan peninsula,yucatan peninsula,False
yport,yport,False
youngstown,youngstown,False
yosemite national park,yosemite national park,False
york,york,False
yale university,yale university,False
yerushalayim district,yerushalayim district,False
yerseke,yerseke,False
yeovil,yeovil,False
yeni valide moskee,yeni valide moskee,False
yellowstone national park,yellowstone national park,False
yellowstone,yellowstone,False
yantai,yantai,False
yangzhou,yangzhou,False
world's columbian exposition,world's columbian exposition,False
workum,workum,False
worksop,worksop,False
windermere,windermere,False
winthrop,winthrop,False
winterthur,winterthur,False
winterswijk,winterswijk,False
winterberg,winterberg,False
winsum,winsum,False
winnipeg,winnipeg,False
windsor castle,windsor castle,False
windesheim,windesheim,False
winchester cathedral,winchester cathedral,False
bandung,bandung,False
winchester,winchester,False
winchelsea,winchelsea,False
wimereux,wimereux,False
wimbledon,wimbledon,False
wiltshire,wiltshire,False
wilp,wilp,False
wilmington,wilmington,False
willimantic,willimantic,False
wissen,wissen,False
wittem,wittem,False
worfield,worfield,False
woodbridge,woodbridge,False
bamberg,bamberg,False
woolwich,woolwich,False
woodstock,woodstock,False
woodland park,woodland park,False
woodhall spa,woodhall spa,False
woodford,woodford,False
woodcote manor,woodcote manor,False
woodbury,woodbury,False
wommersom,wommersom,False
woensdrecht,woensdrecht,False
wolwevershaven,wolwevershaven,False
wolverhampton,wolverhampton,False
wolvega,wolvega,False
woluwe-saint-lambert,woluwe-saint-lambert,False
wolfheze,wolfheze,False
wokingham,wokingham,False
woerth,woerth,False
woerden,woerden,False
yürük,yürük,False
zaan,zaan,False
zaandijk,zaandijk,False
zuiderzee,zuiderzee,False
zwammerdam,zwammerdam,False
zuylen,zuylen,False
angola,angola,False
ansbach,ansbach,False
antwerp,antwerp,False
anuradhapura,anuradhapura,False
zuidlaren,zuidlaren,False
zuidland,zuidland,False
apeldoorn,apeldoorn,False
zwartewaal,zwartewaal,False
zuidbroek,zuidbroek,False
arcachon,arcachon,False
arita,arita,False
arizona,arizona,False
arles,arles,False
arnhem,arnhem,False
assen,assen,False
assendelft,assendelft,False
zwanenburgwal,zwanenburgwal,False
zweeloo,zweeloo,False
augsburg,augsburg,False
alhambra,alhambra,False
aberdeen,aberdeen,False
aerdenhout,aerdenhout,False
afghanistan,afghanistan,False
agra,agra,False
ajaccio,ajaccio,False
alençon,alençon,False
algeria,algeria,False
algiers,algiers,False
alkmaar,alkmaar,False
zweth,zweth,False
alsace,alsace,False
amalfi,amalfi,False
amaravati,amaravati,False
ambon,ambon,False
amersfoort,amersfoort,False
amsterdam,amsterdam,False
zöbing,zöbing,False
zwijndrecht,zwijndrecht,False
athens,athens,False
zuid-beveland,zuid-beveland,False
zaanse schans,zaanse schans,False
bad ems,bad ems,False
zell am see,zell am see,False
zeitz,zeitz,False
avignon,avignon,False
baalbek,baalbek,False
baarn,baarn,False
zeelst,zeelst,False
baccarat,baccarat,False
zedelgem,zedelgem,False
zaragoza,zaragoza,False
zemenon,zemenon,False
zara,zara,False
zanzibar,zanzibar,False
zandhoek,zandhoek,False
zagreb,zagreb,False
zagorsk,zagorsk,False
zadar,zadar,False
zacatecas,zacatecas,False
zaanstad,zaanstad,False
zellerfeld,zellerfeld,False
zerbst,zerbst,False
austria,austria,False
zillertal,zillertal,False
zug,zug,False
zoniënwoud,zoniënwoud,False
zoeterwoude,zoeterwoude,False
zoetermeer,zoetermeer,False
zoeloeland,zoeloeland,False
zoar,zoar,False
zion,zion,False
zimbabwe,zimbabwe,False
zijlstraat,zijlstraat,False
zermatt,zermatt,False
zietenplatz,zietenplatz,False
zielona góra,zielona góra,False
zieken,zieken,False
zhenjiang,zhenjiang,False
zevenhuizen,zevenhuizen,False
zevengebergte,zevengebergte,False
auvergne,auvergne,False
zetten,zetten,False
williamstown,williamstown,False
bangka,bangka,False
walcourt,walcourt,False
banjarmasin,banjarmasin,False
weiden in der oberpfalz,weiden in der oberpfalz,False
weggis,weggis,False
weesperpoortstation,weesperpoortstation,False
weert,weert,False
wednesbury,wednesbury,False
wealdstone,wealdstone,False
wawona,wawona,False
waveney,waveney,False
waulsort,waulsort,False
watkins glen,watkins glen,False
watford,watford,False
watervliet,watervliet,False
bennington,bennington,False
bergen,bergen,False
waterlooplein,waterlooplein,False
waterloo,waterloo,False
waterland,waterland,False
waterkant,waterkant,False
watergraafsmeer,watergraafsmeer,False
weidum,weidum,False
weiherburg,weiherburg,False
weiler,weiler,False
wemding,wemding,False
west bengal,west bengal,False
wesel,wesel,False
wernigerode,wernigerode,False
werkhoven,werkhoven,False
werkendam,werkendam,False
werderscher markt,werderscher markt,False
wengernalp,wengernalp,False
wemeldinge,wemeldinge,False
welsum,welsum,False
weis,weis,False
wells,wells,False
wellmich,wellmich,False
wellington,wellington,False
well,well,False
weissenkirchen in der wachau,weissenkirchen in der wachau,False
weissenfels,weissenfels,False
bennekom,bennekom,False
weissenbach am attersee,weissenbach am attersee,False
waterford,waterford,False
wassen,wassen,False
waspik,waspik,False
waltham,waltham,False
wannsee,wannsee,False
wanfried,wanfried,False
wanasari,wanasari,False
wanaparthy,wanaparthy,False
wamel,wamel,False
walworth,walworth,False
walton-on-thames,walton-on-thames,False
bern,bern,False
walsoken,walsoken,False
wapenveld,wapenveld,False
walporzheim,walporzheim,False
walpole,walpole,False
wallerfangen,wallerfangen,False
wallendorf,wallendorf,False
walkenried,walkenried,False
walem,walem,False
waldenburg,waldenburg,False
wald-michelbach,wald-michelbach,False
wanroij,wanroij,False
warburg,warburg,False
bergen op zoom,bergen op zoom,False
bergerac,bergerac,False
washington street,washington street,False
washington,washington,False
wasen,wasen,False
waschkolk,waschkolk,False
wasbank,wasbank,False
warwickshire,warwickshire,False
warwick,warwick,False
wartburg,wartburg,False
warnsveld,warnsveld,False
wareham,wareham,False
warns,warns,False
warnemünde,warnemünde,False
warmoesgracht,warmoesgracht,False
warmbrunn,warmbrunn,False
warkworth,warkworth,False
wargrave,wargrave,False
warffum,warffum,False
berlin,berlin,False
west boxford,west boxford,False
west indies,west indies,False
west lothian,west lothian,False
barneveld,barneveld,False
wieliczka,wieliczka,False
wicklow mountains,wicklow mountains,False
whittlesey,whittlesey,False
whitehall,whitehall,False
white mountains,white mountains,False
white mountain,white mountain,False
white house,white house,False
whitby abbey,whitby abbey,False
whitby,whitby,False
wieringermeer,wieringermeer,False
whippingham,whippingham,False
wheeling,wheeling,False
whatley,whatley,False
wharncliffe crags,wharncliffe crags,False
wharfedale,wharfedale,False
wezel,wezel,False
weybridge,weybridge,False
wetzlar,wetzlar,False
wieringen,wieringen,False
wierschem,wierschem,False
wetter,wetter,False
wiju,wiju,False
willemstad,willemstad,False
barcelona,barcelona,False
wilhermsdorf,wilhermsdorf,False
wilhelmshaven,wilhelmshaven,False
wilhelmplatz,wilhelmplatz,False
wildervank,wildervank,False
wildenstein,wildenstein,False
wil,wil,False
wijnstraat,wijnstraat,False
wierum,wierum,False
wijnhaven,wijnhaven,False
wijk en aalburg,wijk en aalburg,False
wijk aan zee,wijk aan zee,False
wijhe,wijhe,False
wijdenes,wijdenes,False
wijckel,wijckel,False
wijchen,wijchen,False
wieuwerd,wieuwerd,False
wetteren,wetteren,False
westzaan,westzaan,False
west malling,west malling,False
beauvais,beauvais,False
westerkerk,westerkerk,False
westergeest,westergeest,False
westerbork,westerbork,False
westerblokker,westerblokker,False
batavia,batavia,False
westdorpe,westdorpe,False
batenburg,batenburg,False
bayeux,bayeux,False
belawan,belawan,False
westermarkt,westermarkt,False
belgium,belgium,False
west willington,west willington,False
west walton,west walton,False
west point,west point,False
west norwood,west norwood,False
west mexico,west mexico,False
west mersea,west mersea,False
west meon,west meon,False
westerlo,westerlo,False
western france,western france,False
westphalia,westphalia,False
westervoort,westervoort,False
weston-super-mare,weston-super-mare,False
bassano del grappa,bassano del grappa,False
westmorland,westmorland,False
westminster abbey,westminster abbey,False
westminster,westminster,False
westmaas,westmaas,False
westkapelle,westkapelle,False
westerwijtwerd,westerwijtwerd,False
western turkmenistan,western turkmenistan,False
western germany,western germany,False
western turkey,western turkey,False
western tibet,western tibet,False
western south sudan,western south sudan,False
western mexico,western mexico,False
western islamic lands,western islamic lands,False
"western iran, northern iraq, or northern syria","western iran, northern iraq, or northern syria",False
western iran,western iran,False
western india,western india,False
chile,chile,False
china,china,False
châteaudun,châteaudun,False
seewalchen am attersee,seewalchen am attersee,False
sicily,sicily,False
halle,halle,False
halle an der saale,halle an der saale,False
hannover,hannover,False
sibasa,sibasa,False
siam,siam,False
shropshire,shropshire,False
shrewsbury,shrewsbury,False
shotton,shotton,False
shorwell,shorwell,False
shoreditch,shoreditch,False
shorapur,shorapur,False
shooters hill,shooters hill,False
shohola,shohola,False
shirvan,shirvan,False
shiraz,shiraz,False
shimonoseki,shimonoseki,False
shimla,shimla,False
shillingford,shillingford,False
halberstadt,halberstadt,False
sidmouth,sidmouth,False
sidoarjo,sidoarjo,False
sikkim,sikkim,False
sindanglaja,sindanglaja,False
guatemala or mexico,guatemala or mexico,False
simplonpas,simplonpas,False
silvolde,silvolde,False
silver lake,silver lake,False
sils maria,sils maria,False
guyana,guyana,False
silesia,silesia,False
sikandra,sikandra,False
siegen,siegen,False
sigiriya,sigiriya,False
sigacik,sigacik,False
sierra nevada de santa marta,sierra nevada de santa marta,False
haarlem,haarlem,False
haarzuilens,haarzuilens,False
sierra leone,sierra leone,False
siegerswoude,siegerswoude,False
siegerland,siegerland,False
shigaraki,shigaraki,False
shibapark,shibapark,False
shexian,shexian,False
senftenberg,senftenberg,False
septèmes-les-vallons,septèmes-les-vallons,False
septeuil,septeuil,False
seoul,seoul,False
seo de urgel,seo de urgel,False
sensui-jima,sensui-jima,False
sens,sens,False
senneh,senneh,False
senlisse,senlisse,False
senegambia,senegambia,False
sergiyev posad,sergiyev posad,False
senegal,senegal,False
seneca county,seneca county,False
semur-en-auxois,semur-en-auxois,False
semna,semna,False
semmering,semmering,False
harlingen,harlingen,False
selinunte,selinunte,False
selborne,selborne,False
serabend,serabend,False
harderwijk,harderwijk,False
shewasaulu,shewasaulu,False
shangyu,shangyu,False
sheringham,sheringham,False
shergarh,shergarh,False
shepherd's bush,shepherd's bush,False
shelton,shelton,False
sheffield,sheffield,False
sheerness,sheerness,False
shanxi,shanxi,False
shanhaiguan,shanhaiguan,False
shandong,shandong,False
serres,serres,False
shalozan,shalozan,False
shahjahanpur,shahjahanpur,False
shahhat,shahhat,False
seville,seville,False
seto,seto,False
sestri ponente,sestri ponente,False
sestri levante,sestri levante,False
servoz,servoz,False
sindanglaya,sindanglaya,False
sindh,sindh,False
singkawang,singkawang,False
sitanagaram,sitanagaram,False
skikda,skikda,False
skien,skien,False
skara,skara,False
skagway-hoonah-angoon,skagway-hoonah-angoon,False
skagen,skagen,False
sizun,sizun,False
sittard,sittard,False
sitka,sitka,False
sisteron,sisteron,False
golkonda,golkonda,False
sisikon,sisikon,False
sirohi,sirohi,False
sirmione,sirmione,False
sion,sion,False
sinzig,sinzig,False
sintra,sintra,False
sint-winoksbergen,sint-winoksbergen,False
sint-wenceslauskerk,sint-wenceslauskerk,False
skye,skye,False
skíros,skíros,False
sint-ursulakerk,sint-ursulakerk,False
slot assumburg,slot assumburg,False
snowdonia,snowdonia,False
slovenia,slovenia,False
slovakia,slovakia,False
gizeh,gizeh,False
sloterdijk,sloterdijk,False
sloten,sloten,False
slot velthurns,slot velthurns,False
slot linderhof,slot linderhof,False
slootdorp,slootdorp,False
slaný,slaný,False
slochteren,slochteren,False
slikkerveer,slikkerveer,False
sliedrecht,sliedrecht,False
slenaken,slenaken,False
glasgow,glasgow,False
sleepy hollow,sleepy hollow,False
sleen,sleen,False
goes,goes,False
sint-waltrudiskerk,sint-waltrudiskerk,False
sint-truiden,sint-truiden,False
sinhagad,sinhagad,False
sint-dimpnakerk,sint-dimpnakerk,False
sint-janshospitaal,sint-janshospitaal,False
sint-jansberg,sint-jansberg,False
sint-jan van lateranen,sint-jan van lateranen,False
grindelwald,grindelwald,False
sint-helena,sint-helena,False
sint-gillis,sint-gillis,False
grobogan,grobogan,False
sint-franciscusbasiliek,sint-franciscusbasiliek,False
groningen,groningen,False
sint-joost-ten-node,sint-joost-ten-node,False
sint-baafskathedraal,sint-baafskathedraal,False
guatemala,guatemala,False
sint laurens,sint laurens,False
sint jacobiparochie,sint jacobiparochie,False
sint hubert,sint hubert,False
sint annaland,sint annaland,False
sint anna ter muiden,sint anna ter muiden,False
sinoutskerke,sinoutskerke,False
sint-janskathedraal,sint-janskathedraal,False
grenoble,grenoble,False
sint-servaasbasiliek,sint-servaasbasiliek,False
sint-niklaas,sint-niklaas,False
sint-sebalduskerk,sint-sebalduskerk,False
sint-salvatorskathedraal,sint-salvatorskathedraal,False
sint-pietersplein,sint-pietersplein,False
gorinchem,gorinchem,False
sint-pietersberg,sint-pietersberg,False
gotha,gotha,False
sint-paulus buiten de muren,sint-paulus buiten de muren,False
gouda,gouda,False
granada,granada,False
sint-jozefparochie,sint-jozefparochie,False
sint-michielsgestel,sint-michielsgestel,False
sint-michiel en sint-goedelekathedraal,sint-michiel en sint-goedelekathedraal,False
sint-michaëlkerk,sint-michaëlkerk,False
sint-martinusbasiliek,sint-martinusbasiliek,False
great britain,great britain,False
greece,greece,False
sint-laurensbasiliek,sint-laurensbasiliek,False
sint-laurens buiten de muren,sint-laurens buiten de muren,False
segovia,segovia,False
seelisberg,seelisberg,False
tiberias,tiberias,False
harz,harz,False
santa croce,santa croce,False
santa cecilia in trastevere,santa cecilia in trastevere,False
santa catalina island,santa catalina island,False
santa barbara,santa barbara,False
moradabad,moradabad,False
sanssouci,sanssouci,False
sankt wolfgang,sankt wolfgang,False
sankt pölten,sankt pölten,False
sankt moritz,sankt moritz,False
sankt johann im pongau,sankt johann im pongau,False
sankt goarshausen,sankt goarshausen,False
sankt goar,sankt goar,False
sankt gilgen,sankt gilgen,False
sangina,sangina,False
sangha,sangha,False
sanganer,sanganer,False
sandford-on-thames,sandford-on-thames,False
sandbach,sandbach,False
sand,sand,False
santa cruz de la palma,santa cruz de la palma,False
santa cruz de tenerife,santa cruz de tenerife,False
santa margherita ligure,santa margherita ligure,False
santa sabina,santa sabina,False
sarajevo,sarajevo,False
saqqara,saqqara,False
santpoort-zuid,santpoort-zuid,False
santissima annunziata del vastato,santissima annunziata del vastato,False
santiago de cuba,santiago de cuba,False
santiago,santiago,False
santi nereo e achilleo,santi nereo e achilleo,False
santa valley,santa valley,False
hungary,hungary,False
santa maria della concezione dei cappuccini,santa maria della concezione dei cappuccini,False
santa pudenziana,santa pudenziana,False
santa pola,santa pola,False
santa monica,santa monica,False
santa maría del tule,santa maría del tule,False
santa maria novella,santa maria novella,False
santa maria in trastevere,santa maria in trastevere,False
santa maria in aracoeli,santa maria in aracoeli,False
santa maria della pace,santa maria della pace,False
sanchi,sanchi,False
san remo,san remo,False
san pietro in vincoli,san pietro in vincoli,False
salford,salford,False
salvan,salvan,False
saltillo,saltillo,False
salt lake city,salt lake city,False
interlaken,interlaken,False
sallanches,sallanches,False
salisbury,salisbury,False
salins,salins,False
salhouse,salhouse,False
salers,salers,False
salzkammergut,salzkammergut,False
iran,iran,False
salerno,salerno,False
salatiga,salatiga,False
salamanca,salamanca,False
sala capriasca,sala capriasca,False
saintes,saintes,False
sainte-trinité,sainte-trinité,False
sainte-menehould,sainte-menehould,False
innsbruck,innsbruck,False
indonesian archipelago,indonesian archipelago,False
san marco,san marco,False
san fernando,san fernando,False
san lorenzo de el escorial,san lorenzo de el escorial,False
san lazzaro degli armeni,san lazzaro degli armeni,False
san juan capistrano,san juan capistrano,False
san juan,san juan,False
san josé,san josé,False
indiana,indiana,False
san giovanni evangelista,san giovanni evangelista,False
san gimignano,san gimignano,False
san domenico da fiesole,san domenico da fiesole,False
salò,salò,False
san diego,san diego,False
san carlo ai catinari,san carlo ai catinari,False
san antonio,san antonio,False
samsun,samsun,False
samnium,samnium,False
samedan,samedan,False
samaria,samaria,False
indonesia,indonesia,False
saranac lake,saranac lake,False
saratoga springs,saratoga springs,False
sarawak,sarawak,False
schlossbrücke,schlossbrücke,False
schooner head,schooner head,False
schonau,schonau,False
schnepfenthal,schnepfenthal,False
schneeberg,schneeberg,False
schmittenhöhe,schmittenhöhe,False
schmiedeberg,schmiedeberg,False
schmargendorf,schmargendorf,False
heidelberg,heidelberg,False
helmond,helmond,False
havana,havana,False
helsinki,helsinki,False
schliersee,schliersee,False
schlierbach,schlierbach,False
schleswig-holstein,schleswig-holstein,False
schleithal,schleithal,False
schlangenbad,schlangenbad,False
schiphol,schiphol,False
schinnen,schinnen,False
schoorl,schoorl,False
schouwen-duiveland,schouwen-duiveland,False
schijndel,schijndel,False
schönmünzach,schönmünzach,False
sedan,sedan,False
sebastopol,sebastopol,False
seaview,seaview,False
scuol,scuol,False
scrovegnikapel,scrovegnikapel,False
scratchell's bay,scratchell's bay,False
scottish borders,scottish borders,False
hattem,hattem,False
schöneberg,schöneberg,False
schrezheim,schrezheim,False
schönbrunn,schönbrunn,False
schöllenenkloof,schöllenenkloof,False
schöllenen,schöllenen,False
haute-savoie,haute-savoie,False
schwerin,schwerin,False
schwarzwald,schwarzwald,False
schwabach,schwabach,False
schriesheim,schriesheim,False
schinkelplatz,schinkelplatz,False
schiffbeck,schiffbeck,False
sarcelles,sarcelles,False
holborn,holborn,False
sawahlunto,sawahlunto,False
savona,savona,False
savoie,savoie,False
savoe,savoe,False
saveh,saveh,False
savannah,savannah,False
sauvenière,sauvenière,False
saumur,saumur,False
hong kong,hong kong,False
saxony-anhalt,saxony-anhalt,False
satsuma,satsuma,False
sassenheim,sassenheim,False
sas van gent,sas van gent,False
sarkhej roza,sarkhej roza,False
sari,sari,False
sarentino,sarentino,False
sardis,sardis,False
sardinia,sardinia,False
sawankhalok,sawankhalok,False
scandinavia,scandinavia,False
schiermonnikoog,schiermonnikoog,False
schaumburg,schaumburg,False
schiefbahn,schiefbahn,False
scherpenzeel,scherpenzeel,False
scherpenisse,scherpenisse,False
scherpenheuvel,scherpenheuvel,False
schermerhorn,schermerhorn,False
schelm,schelm,False
schelluinen,schelluinen,False
schellingwoude,schellingwoude,False
scharnegoutum,scharnegoutum,False
hilversum,hilversum,False
scharbeutz,scharbeutz,False
schalkwijk,schalkwijk,False
schagen,schagen,False
schagelstraat,schagelstraat,False
hildburghausen,hildburghausen,False
schaesberg,schaesberg,False
sceaux,sceaux,False
hildesheim,hildesheim,False
sodankylä,sodankylä,False
soden-am-taunus,soden-am-taunus,False
soemba,soemba,False
soengeiliat,soengeiliat,False
sévérac-le-château,sévérac-le-château,False
culemborg,culemborg,False
czech republic,czech republic,False
córdoba,córdoba,False
szczecin,szczecin,False
danzig,danzig,False
darmstadt,darmstadt,False
davos,davos,False
deccan,deccan,False
delft,delft,False
delhi,delhi,False
democratic republic of the congo,democratic republic of the congo,False
den bosch,den bosch,False
sylvan beach,sylvan beach,False
sylt,sylt,False
sydenham,sydenham,False
den helder,den helder,False
denmark,denmark,False
derby,derby,False
söderhamn,söderhamn,False
sölden,sölden,False
süleymaniye-moskee,süleymaniye-moskee,False
tamina,tamina,False
tanjung pinang,tanjung pinang,False
tanimbar-eilanden,tanimbar-eilanden,False
tangkuban perahu,tangkuban perahu,False
tanger,tanger,False
tanga,tanga,False
tandjong poera,tandjong poera,False
tandjoeng karang,tandjoeng karang,False
taminakloof,taminakloof,False
tamil nadu,tamil nadu,False
tabriz,tabriz,False
tamba,tamba,False
tallinn,tallinn,False
talavera de la reina,talavera de la reina,False
takht-e jamshid,takht-e jamshid,False
takatori,takatori,False
taj mahal,taj mahal,False
taizhou,taizhou,False
taiwan,taiwan,False
swinton,swinton,False
swichum,swichum,False
swatow,swatow,False
dieppe,dieppe,False
sully-sur-loire,sully-sur-loire,False
sulechów,sulechów,False
sulden,sulden,False
suldal,suldal,False
devon,devon,False
sulawesi,sulawesi,False
sukabumi,sukabumi,False
suhl,suhl,False
suez,suez,False
sultan ahmetmoskee,sultan ahmetmoskee,False
dinant,dinant,False
sudan,sudan,False
subiaco,subiaco,False
suawoude,suawoude,False
studley royal park,studley royal park,False
studland,studland,False
stubaital,stubaital,False
strängnäs,strängnäs,False
sulmona,sulmona,False
sumirago,sumirago,False
swat,swat,False
surlingham,surlingham,False
swansea,swansea,False
swalmen,swalmen,False
swadlincote,swadlincote,False
sutton coldfield,sutton coldfield,False
detroit,detroit,False
sutri,sutri,False
sussex,sussex,False
susa,susa,False
surin,surin,False
summit hill,summit hill,False
suresnes,suresnes,False
surakarta,surakarta,False
sunnyvale,sunnyvale,False
sungai negara,sungai negara,False
sundsvall,sundsvall,False
deventer,deventer,False
sunderland,sunderland,False
sunbury,sunbury,False
tanjung priok,tanjung priok,False
tanjungpura,tanjungpura,False
tanzania,tanzania,False
thames embankment,thames embankment,False
thessaloniki,thessaloniki,False
theresienthal,theresienthal,False
thebes,thebes,False
the ovens,the ovens,False
colombo,colombo,False
colorado,colorado,False
thaon-les-vosges,thaon-les-vosges,False
thanjavur,thanjavur,False
thames,thames,False
thibouville,thibouville,False
thalwil,thalwil,False
thale,thale,False
como,como,False
texas,texas,False
teutoburgerwoud,teutoburgerwoud,False
teuge,teuge,False
teufen,teufen,False
teufelsbrücke,teufelsbrücke,False
colombia,colombia,False
thiers,thiers,False
tesserete,tesserete,False
thunersee,thunersee,False
tianjin,tianjin,False
tiana,tiana,False
cleves,cleves,False
clichy,clichy,False
thusis,thusis,False
thurso,thurso,False
thuringia,thuringia,False
thurii copia,thurii copia,False
thuner see,thuner see,False
thirlmere,thirlmere,False
thun,thun,False
thrace,thrace,False
thouars,thouars,False
thornsche molen,thornsche molen,False
thorney,thorney,False
thorn,thorn,False
cologne,cologne,False
thisted,thisted,False
tessé-la-madeleine,tessé-la-madeleine,False
teschen,teschen,False
cuba,cuba,False
costa rica,costa rica,False
teignmouth,teignmouth,False
teifi,teifi,False
tegelen,tegelen,False
corona,corona,False
corsica,corsica,False
tbilisi,tbilisi,False
taveuni,taveuni,False
taunton,taunton,False
tasikmalaya,tasikmalaya,False
telemark,telemark,False
tashkent,tashkent,False
tarvin,tarvin,False
tarragona,tarragona,False
tarbert,tarbert,False
tarascon-sur-ariège,tarascon-sur-ariège,False
tarascon,tarascon,False
taranto,taranto,False
taplow,taplow,False
tel aviv,tel aviv,False
tellskapelle,tellskapelle,False
terzool,terzool,False
ter heijde,ter heijde,False
tervuren,tervuren,False
terschelling,terschelling,False
territet,territet,False
terneuzen,terneuzen,False
ternate,ternate,False
termignon,termignon,False
terme del brennero,terme del brennero,False
ter kamerenbos,ter kamerenbos,False
ter apel,ter apel,False
tempedal,tempedal,False
ter aar,ter aar,False
tenochtitlan,tenochtitlan,False
tennessee,tennessee,False
tenerife,tenerife,False
tenby,tenby,False
tempelberg,tempelberg,False
connecticut,connecticut,False
tempel van caesar,tempel van caesar,False
stroud,stroud,False
strijp,strijp,False
strijen,strijen,False
flushing,flushing,False
southwest,southwest,False
southwark,southwark,False
southsea,southsea,False
southrop,southrop,False
southport,southport,False
fiji,fiji,False
finland,finland,False
florence,florence,False
fontainebleau,fontainebleau,False
europe,europe,False
forum romanum,forum romanum,False
france,france,False
franeker,franeker,False
southern highlands,southern highlands,False
frankenthal,frankenthal,False
frankfurt am main,frankfurt am main,False
frankfurt an der oder,frankfurt an der oder,False
frechen,frechen,False
ewijkshoeve,ewijkshoeve,False
etruria,etruria,False
fribourg,fribourg,False
eindhoven,eindhoven,False
speyer,speyer,False
spankeren,spankeren,False
spanderswoud,spanderswoud,False
spanbroek,spanbroek,False
spakenburg,spakenburg,False
egypt,egypt,False
egypt or iraq,egypt or iraq,False
egypt or syria,egypt or syria,False
elberfeld,elberfeld,False
spaanse trappen,spaanse trappen,False
emden,emden,False
england,england,False
enkhuizen,enkhuizen,False
ethiopia,ethiopia,False
spaarnwouderstraat,spaarnwouderstraat,False
spaarnwoude,spaarnwoude,False
spaarne,spaarne,False
spaarndam,spaarndam,False
freiburg,freiburg,False
southbury,southbury,False
spielbudenplatz,spielbudenplatz,False
sollentuna,sollentuna,False
sortavala,sortavala,False
sopron,sopron,False
sonsbeek,sonsbeek,False
sonsbeck,sonsbeck,False
son,son,False
soltanabad,soltanabad,False
ghana,ghana,False
solothurn,solothurn,False
solingen,solingen,False
sousse,sousse,False
soissons,soissons,False
sogn og fjordane,sogn og fjordane,False
sofia,sofia,False
soesterberg,soesterberg,False
soestdijk,soestdijk,False
ghent,ghent,False
gibraltar,gibraltar,False
soerakarta,soerakarta,False
germany,germany,False
south africa,south africa,False
southampton,southampton,False
gelderland,gelderland,False
friesland,friesland,False
south walsham,south walsham,False
south staffordshire,south staffordshire,False
south shore park,south shore park,False
south shields,south shields,False
south park botanical garden,south park botanical garden,False
gandhara,gandhara,False
garut,garut,False
south lanarkshire,south lanarkshire,False
south america,south america,False
south korea,south korea,False
geldern,geldern,False
south hinksey,south hinksey,False
south downs,south downs,False
south dakota,south dakota,False
south celebes,south celebes,False
south carolina,south carolina,False
south asia,south asia,False
spiegelzaal,spiegelzaal,False
spiez,spiez,False
stresa,stresa,False
stein,stein,False
stettin,stettin,False
sterzing,sterzing,False
stephansdom,stephansdom,False
stelviopas,stelviopas,False
stellenbosch,stellenbosch,False
stekene,stekene,False
steinschönau,steinschönau,False
steinbach-hallenberg,steinbach-hallenberg,False
doorn,doorn,False
dominican republic,dominican republic,False
steenwijkerwold,steenwijkerwold,False
steenwijk,steenwijk,False
steenschuur,steenschuur,False
steenderen,steenderen,False
steenbergen,steenbergen,False
steegoversloot,steegoversloot,False
stedum,stedum,False
stavoren,stavoren,False
stevensweert,stevensweert,False
stoke,stoke,False
stavanger,stavanger,False
straits settlements,straits settlements,False
street,street,False
streatley,streatley,False
strawberry hill,strawberry hill,False
stratford-upon-avon,stratford-upon-avon,False
strasburg,strasburg,False
strasbourg,strasbourg,False
strand,strand,False
stralsund,stralsund,False
doesburg,doesburg,False
stoke on trent,stoke on trent,False
stourbridge,stourbridge,False
stonehouse,stonehouse,False
stonebyres,stonebyres,False
stompwijk,stompwijk,False
stolzenfels,stolzenfels,False
stolberg,stolberg,False
stokesay,stokesay,False
stoke poges,stoke poges,False
staverden,staverden,False
starnberg,starnberg,False
spionkop,spionkop,False
st helens,st helens,False
ecuador,ecuador,False
stade,stade,False
stad aan 't haringvliet,stad aan 't haringvliet,False
st. johnsbury,st. johnsbury,False
st. blasien,st. blasien,False
st. andrews,st. andrews,False
st michael,st michael,False
st james's palace,st james's palace,False
st edmundsbury,st edmundsbury,False
dublin,dublin,False
srinagar,srinagar,False
edam,edam,False
ede,ede,False
sprang-capelle,sprang-capelle,False
edinburgh,edinburgh,False
splitsko-dalmatinska županija,splitsko-dalmatinska županija,False
split,split,False
spitsbergen,spitsbergen,False
eastern mediterranean region,eastern mediterranean region,False
dresden,dresden,False
stargard,stargard,False
stains,stains,False
staphorst,staphorst,False
staoueli,staoueli,False
stansstad,stansstad,False
stans,stans,False
stanhope,stanhope,False
stanford,stanford,False
stamford,stamford,False
stalheim,stalheim,False
staindrop,staindrop,False
drenthe,drenthe,False
staffa,staffa,False
stadt wehlen,stadt wehlen,False
stadskanaal,stadskanaal,False
doornik,doornik,False
doorwerth,doorwerth,False
dordrecht,dordrecht,False
dornach,dornach,False
douai,douai,False
morcote,morcote,False
modena,modena,False
moosehead lake,moosehead lake,False
eastern mediterranean,eastern mediterranean,False
el pilar,el pilar,False
el matareya,el matareya,False
el masnou,el masnou,False
el kantara,el kantara,False
el ferrol,el ferrol,False
